1 iteration PageRank values
('A', 0.24930555555555556)
('C', 0.14305555555555555)
('B', 0.11944444444444445)
('E', 0.2138888888888889)
('D', 0.13125)
('F', 0.14305555555555555)

10 iteration PageRank values
('A', 0.25203637602817186)
('C', 0.15129376593475075)
('B', 0.13930650918251083)
('E', 0.18710661014291716)
('D', 0.11896297277689882)
('F', 0.15129376593475075)

100 iteration PageRank values
('A', 0.2521271053751956)
('C', 0.1513064898667053)
('B', 0.1393061853185386)
('E', 0.18704590699931614)
('D', 0.11890782257353921)
('F', 0.1513064898667053)
